"","score","text"
"Reviews1",0,"This place is like an oasis in a desert. Pleasant ambience. hygienically fit. Has a clean washroom...something rare in this city. Menu is limited but food is decent and very reasonably priced. Service is nice and quick. Staff is interested …MoreThis place is like an oasis in a desert. Pleasant ambience. hygienically fit. Has a clean washroom...something rare in this city. Menu is limited but food is decent and very reasonably priced. Service is nice and quick. Staff is interested in serving which is important. Quality of food and presentation is above average which is very good for kharagpur. Uploading menu pics so you can pick and choose. Enjoy"
"Reviews2",2,"Very good place to spend time and their dishes are also very much tastyy ... I m in love with it!!"
"Reviews3",2,"Italian, burgers, shakes. Nice ambience. Good for family too."
"Reviews4",1,"Food quality and is good and the place is lovely though the service is a bit delayed."
"Reviews5",1,"Special Chicken burger is good.Wings n classic veg burger is also good.Worth trying"
"Reviews6",3,"Take too much time to serve food.. and cost wise I will give 3 star.. because it's not low priced.. food quality good.. but you need minimum 500 rupees.. per person.. then you'll satisfy..."
"Reviews7",0,"I just love it. What it looks from outside is completely different from it's inner beauty. Amazingly decorated. They used the little space very intelligently and gracefully. …MoreI just love it. What it looks from outside is completely different from it's inner beauty. Amazingly decorated. They used the little space very intelligently and gracefully.Food quality: With in affordable price good quality food. Pizzas are same as dominos with much lower coast. Mocktails and milk shakes are too good.Special attraction:-- there is photo shoot corner, with various funny props, masks. Few story books are there for time pass perpous. It is a place to discover ❤️❤️❤️❤️"
"Reviews8",1,"It is in good position on the main road.good behavior is there capital. Most public choose this scrummy."
"Reviews9",3,"Awesome food at awesome price. Also the decor is very beautiful."
"Reviews10",2,"Only place for good Italian food and snacks in general in Kharagpur. Cafe like ambience is likeable too."
"Reviews11",2,"Super experience I ordered a cold coffie and veg burger its expensive but delicious.....there has so many masks for take selfie good place for enjoying with family n frnds and its also good for couple"
"Reviews12",2,"It's  okk to hop in for snacks over hereThe place Is Good But Not that Good"
"Reviews13",5,"Best place for a break from your daily life. Grab a bite in low cost, nice interior decoration. Just loved this place. I recommend you all to visit for a fresh and happy feelings with your friends, family, gf/bf."
"Reviews14",2,"This place have good food but the prices are not with respect to quality or quantity."
"Reviews15",2,"Very good and new restaurant cum fast food.. yaa it's costly but good."
"Reviews16",2,"Perfect place for hang out with friends and also famous for delicious food ."
"Reviews17",1,"It's great. A bit expensive, but it's worth it. Try the Ultimate Chicken burger or Special chicken burger. The pasta, fries, mocktails are just so damn tasty I go there after every exam. It's definitely cool for parties"
